;fizikiai;1;szellemi;2;vegyes;3
osztályvezető tisztviselő;2;;;;;
Junior fúrómérnök;1;;;;;
könyvelőasszisztens;2;;;;;
programozó szoftverfejlesztő;2;;;;;
projekt mérnök;2;;;;;
informatikai projektmenedzser;2;;;;;
Flotta manager;2;;;;;
pultos felszolgáló;1;;;;;
HR specialista;2;;;;;
pénzügyi kontroller;2;;;;;
éttermi munkatárs;1;;;;;
Friss-csemegepult-grill;1;;;;;
SM Lean Navigátor;2;;;;;
humánpolitikai referens;2;;;;;
iratkezelési ügyintéző;2;;;;;
szolgálatvezető helyettes II;2;;;;;
HR coordinátor;2;;;;;
bérszámfejtő;2;;;;;
beüzemelő mérnök;2;;;;;
Karbantartási asszisztens;1;;;;;
logisztikai tanuló;2;;;;;
Büfé konyhai kisegítő;1;;;;;
Kerttervező;1;;;;;
értékesítés támogató munkatárs;2;;;;;
junior készlettervező;2;;;;;
logisztikai ügyintéző;2;;;;;
Áruösszekészítési dolgozó;1;;;;;
Egyéb,máshova nem sorolható irodai ,ügyv.foglalk;2;;;;;
customer care specialist;2;;;;;
termelés programozó;2;;;;;
árufeltöltő-pénztáros;1;;;;;
Vállalkozási vezető;2;;;;;
Személyügyi főmunkatárs;2;;;;;
Komissiózó csoportvezető;1;;;;;
reszortfelelős tanuló;1;;;;;
Programfejlesztési referens;2;;;;;
erősáramú technikus;1;;;;;
irattáros;2;;;;;
digitális marketing specialista;2;;;;;
műszerész;1;;;;;
telepvezető;2;;;;;
karbantartási és biztonságtechnikai mérnök;1;;;;;
gépbeállító, feltöltő;1;;;;;
jogász;2;;;;;
Belső ellenőrzési vezető;2;;;;;
kontroller;2;;;;;
bérszámfejtési ügyintéző;2;;;;;
alkalmazott önkiszolgáló osztályon (csemegepulti eladó);1;;;;;
Aszisztens;2;;;;;
értékesító;2;;;;;
Sales Support Specialist;2;;;;;
műszaki igazgató;2;;;;;
lemezlakatos;1;;;;;
könyvvizsgáló asszisztens;2;;;;;
kutató;2;;;;;
szerviz mérnök;2;;;;;
ügyfélszolgálati és fejlesztési vezető;2;;;;;
IT támogató munkatárs;2;;;;;
key account menedzser;2;;;;;
Gyártástervező;3;;;;;
karbantartó technikus;1;;;;;
Gazdasági szervezet vezetője;2;;;;;
kommunikációs vezető;2;;;;;
Telemarketinges munkatárs;2;;;;;
eladó/kasszás;1;;;;;
R&D Software Developer;2;;;;;
projekt támogató munkatárs;2;;;;;
Kereskedelmi és marketing ügyvezető;2;;;;;
adatrögzítő;2;;;;;
Főigazgatói főtanácsadó;2;;;;;
árubeszerző-eladó;1;;;;;
energetikai szakértő;2;;;;;
laboráns;2;;;;;
labor asszisztens;1;;;;;
controller;2;;;;;
Project manager fejlesztő mérnök;2;;;;;
termelési menedzser;2;;;;;
pályázati pénzügyi referens;2;;;;;
Értékesítési és marketingtev. folyt. egys. vezetője;2;;;;;
könyvelési munkatárs;2;;;;;
F&B Manager;2;;;;;
szállítási asszisztens;2;;;;;
Beszerzési ügyintéző;2;;;;;
Termelési szolgáltatások vezető;2;;;;;
logisztikai igazgató;2;;;;;
üzemeltetési munkatárs;2;;;;;
bér és munkaügyi előadó;2;;;;;
kontrolling aszizstens;2;;;;;
pénzügyi csoport vezető;2;;;;;
tehergépkocsi-vezető;1;;;;;
gépészmérnök, csoportvezető;1;;;;;
házhoszállítási manager;1;;;;;
Területi értékesítő;1;;;;;
telefonközpont tájékoztatója;2;;;;;
épületgépész;1;;;;;
Raktáros-gépkocsivezető;1;;;;;
Csapolt Szervíz Raktáros;1;;;;;
marketing specialist;2;;;;;
Ügyfélszolgálati referens;2;;;;;
Labor technikus;1;;;;;
körny. Mérnök;2;;;;;
pénzügyi menedzser;2;;;;;
Üzemeltetési koordinációs ügyintéző;2;;;;;
bérszámfejtési csoportvezető;2;;;;;
bérszámfejtési vezető;2;;;;;
ajánlatkészítő;2;;;;;
értékesítési asszisztens;2;;;;;
adatbázis szakértő;2;;;;;
Breakfast Host;1;;;;;
villanyszerelő karbantartó;1;;;;;
Content Specialist;2;;;;;
Sales operation executive;2;;;;;
ügyvezetői asszisztens;2;;;;;
Raktári alkalmazott;1;;;;;
Telekommunikációs rendszerfejlesztő mérnök;2;;;;;
diszpécser;2;;;;;
tehergépkocsivezető;1;;;;;
minőség/Minőségi ügyintéző;2;;;;;
gépjármű-üzemeltetési munkatárs;1;;;;;
logisztikai ügyfélkapcsolattartó;2;;;;;
Inf-i és komm. rendsz. felhasználóit tám. techn.;2;;;;;
Vezető állatorvos;3;;;;;
Customer Care Representative;2;;;;;
Software Developer;2;;;;;
Tervezés vezető;2;;;;;
gyógyszerész;2;;;;;
asszisztens-diszpécser;2;;;;;
beszerzési kontroller;2;;;;;
Logisztika/ anyagmozgató;1;;;;;
irodai munkatárs;2;;;;;
vezető tervező;2;;;;;
Egyéb, máshova nem sorolható üzl. jell. szolg. üint;2;;;;;
mérnök;2;;;;;
kommunikációs referens;2;;;;;
Depovezető;2;;;;;
Iratkezelési referens;2;;;;;
szolgálattámogató közterület felügyelő;1;;;;;
termelési asszisztens;2;;;;;
Friss üzemvezető helyettes;2;;;;;
üzletfejlesztési vezető;2;;;;;
szakeladó-csemege pult;1;;;;;
képzési és humánpolitikai referens;2;;;;;
autófényező;1;;;;;
fejlesztő mérnök;2;;;;;
Pricing and business analyst;2;;;;;
e-ker dark store előkészítési munkatárs;1;;;;;
épület karbantartó;1;;;;;
Project Engineer;2;;;;;
Reservation Agent;2;;;;;
gépszerelő;1;;;;;
felügyelő;2;;;;;
Termékmenedzsment és alkalmazéstechnikai vezető;2;;;;;
adminisztrátor-ügyintéző;2;;;;;
környezetvédelmi szakértő;2;;;;;
irodai munkavégzés;2;;;;;
irodai dolgozó;2;;;;;
marketing vezető;2;;;;;
termelési kiemelt segédmunkás;1;;;;;
beszerzési munkatárs;2;;;;;
kereskedelmi-asszisztens;2;;;;;
Csoportvezető, higiéniás asszisztens;1;;;;;
minőségirányítási osztályvezető;2;;;;;
Részmunkaidős pénztáros;1;;;;;
Head of logistics development;2;;;;;
E-ker és hsz.ellenőr;1;;;;;
informatikus;2;;;;;
termelési anyagmozgató;1;;;;;
Összetett adminisztratív szolgáltatás;2;;;;;
készlet ellenőr vezető;2;;;;;
Key account koordinátor;2;;;;;
technológus;2;;;;;
R&D Product Support Engineer;2;;;;;
beszerzési és üztemeltetési osztályvezető;2;;;;;
kommunikációs tanácsadó;2;;;;;
Forecast munkatárs;1;;;;;
szolgálati igazgatóhelyettes;2;;;;;
Számviteli Referens;2;;;;;
Gyógyszergyártó;2;;;;;
igazgatói asszisztens;2;;;;;
tervezési vezető;2;;;;;
Senior webmarketing specialista;2;;;;;
márkatermék vezető;2;;;;;
bérbeadási csoprtvezető;2;;;;;
bérelszámoló;2;;;;;
termelési ügyintéző;2;;;;;
Közterület-felügyeleti osztályvezető-helyettes;1;;;;;
nyomdai segéd;1;;;;;
értékesítési főmunkatárs;2;;;;;
Housekeeping supervisor;2;;;;;
igazgatási referens;2;;;;;
Vevőszolgálati munkatárs/kasszás;3;;;;;
Minőség/Minőségügyi ügyintéző;2;;;;;
térmester;1;;;;;
egyszerű ipari foglalkozás;1;;;;;
építész mérnök tervező;2;;;;;
Full stack developer;0;;;;;
villamosipari technikus;1;;;;;
CNC élhajlító, lézervágó;1;;;;;
szerszámgazda;1;;;;;
minőségbiztosítási mérnök;2;;;;;
E-kereskedelem előkészítés-komissiózás;1;;;;;
HMM tüdőszürés;0;;;;;
AP-AR accountant;2;;;;;
call center ügyintéző;2;;;;;
árukiadó, raktáros;1;;;;;
távközlési hálózatépítő;1;;;;;
üzem/karbantartó;1;;;;;
műszaki ügyintéző;2;;;;;
elektronikai műszerész;1;;;;;
Értékesítési Igazgató;2;;;;;
külső szerelő;1;;;;;
árajánlat készítő;2;;;;;
Pénztár szektor;1;;;;;
e-ker kiszolgálási manager;1;;;;;
grafikus;2;;;;;
üzemeltetési csoportvezető;2;;;;;
mérnök-üzletkötő;3;;;;;
Project koordinator;2;;;;;
Eladó (friss szektor);1;;;;;
webshop értékesítési koordinátor;2;;;;;
Gazdasági igazgató;2;;;;;
műszaki rajzoló;2;;;;;
személyügyi asszisztens;2;;;;;
klinikai kutatási asszisztens;2;;;;;
raktártos/áruátvevő;1;;;;;
építőmérnök,csoportvezető;2;;;;;
Általános főigazgató helyettes;2;;;;;
gyártáselőkészítő mérnök;2;;;;;
Gazdasági Igazgatói Asszisztens;2;;;;;
ügyfélkapcsolati manager;2;;;;;
Senior Project Engineer;2;;;;;
Raktári dolgozó (auditor);1;;;;;
laborvezető helyettes;2;;;;;
infrastruktúra műszakvezető;2;;;;;
