;fizikiai;1;szellemi;2;vegyes;3
Barista;1;;;;;
Irodavezető-helyettes;2;;;;;
Gazdasági referens;2;;;;;
Termelés tervező;2;;;;;
ellátás tervezés adminisztráció csoportvezető;2;;;;;
karbantartási munkatárs;1;;;;;
csomagoló;1;;;;;
Junior BI Develope;2;;;;;
E-ker kiszolgáló munkatárs;1;;;;;
E-kereskedelmi vevőszolgálati munkatárs;2;;;;;
Business Development Manager;2;;;;;
betanított szerelő;1;;;;;
raktárvezető;1;;;;;
pályázatkezelési referens;2;;;;;
esztergályos;1;;;;;
IT Sevice Desk Jr. Technician;2;;;;;
kontrolling asszisztens;2;;;;;
Termelési szakmunkás;1;;;;;
tervezőmérnök;2;;;;;
Logisztikai munkatárs;3;;;;;
rakodó;1;;;;;
gyógyszerkiadó szakasszisztens;1;;;;;
étteremvezető-helyettes;1;;;;;
kereskedelmi és marketing manager;2;;;;;
ISP frissáru vezető;2;;;;;
Áruellátó menedzser;2;;;;;
üzletvezető;2;;;;;
E-ker. dark store előkészítési munkatárs;1;;;;;
kivitelezési üzletág vezető;2;;;;;
gyógyszertár vezető;2;;;;;
HUmán erőforrás osztályvezető;2;;;;;
raktárlapválogató;1;;;;;
Szervezési igazgatóhelyettes;2;;;;;
fejezeti gazdálkodási referens;2;;;;;
Pénztár manager;1;;;;;
Projektmenedzser;2;;;;;
kabinetvezető;2;;;;;
szerelés vezető;1;;;;;
Fizikai dolgozó;1;;;;;
Áruösszekészítő;1;;;;;
beszerzési asszisztens;2;;;;;
bolti eladó;1;;;;;
szakszervezeti titkár;2;;;;;
Facility manager;2;;;;;
üzemvezető helyettes;2;;;;;
éttermi - konyhai dolgozó;1;;;;;
területi képviselő;1;;;;;
varrónő;1;;;;;
Kereskedelmi senior menedzser 2;2;;;;;
Szállítmányozási vezető;2;;;;;
asszisztens;1;;;;;
HR munkatárs;2;;;;;
Karbantartási adminisztrátor;1;;;;;
lakatos;1;;;;;
Diák;3;;;;;
méréstechnikus;2;;;;;
Személyzeti ügyintéző;2;;;;;
ügyvezető, könyvelő;2;;;;;
jogtanácsos;2;;;;;
ISP frissáru üzemvezető;1;;;;;
targonca vezető;1;;;;;
gondnok;1;;;;;
hegesztő lakatos;1;;;;;
irodai adminisztrátor;2;;;;;
számviteli ügyintéző;2;;;;;
gépkocsivezető;1;;;;;
Építési projekt tanácsadó;2;;;;;
Tervezési koordinátor;2;;;;;
Adminisztrációs koordinátor;2;;;;;
Eladó-Benzinkút pénztár hostess;1;;;;;
kereskedelmi asszisztens;2;;;;;
Társadalmi kapcsolatokért felelős szakértő;2;;;;;
üzemvezető-helyettes;2;;;;;
villanyszerelő;1;;;;;
Senior Controller;2;;;;;
ügyvezető;2;;;;;
betanított munkás;1;;;;;
műszak részlegvezető;2;;;;;
projektvezető;2;;;;;
cégvezető;2;;;;;
pályázati referens;2;;;;;
Szervíz technikus;1;;;;;
Vásárlói kapcsolatokért felelős asszisztens;2;;;;;
Kulcsfelhasználó;2;;;;;
irodai asszisztens;2;;;;;
Erőforrás tervező manager;2;;;;;
ügyviteli referens;2;;;;;
ISP Készletellenőr;2;;;;;
fejezeti gazdálkodási csoportvezető;2;;;;;
ajánlatkészítő mérnök;2;;;;;
Junior Developer;2;;;;;
ügyvezető igazgató;2;;;;;
ISP Food vezető;2;;;;;
ISP NFII üzemvezető;2;;;;;
árfelmérő;2;;;;;
Magánszemély;0;;;;;
hús és hentesárú eladó;1;;;;;
recepciós;2;;;;;
egyéb takarító és kisegítő;1;;;;;
Udvartakarító;1;;;;;
göngyöleg felelős;1;;;;;
IT manager;2;;;;;
pénzügyi assziszt.;2;;;;;
Műszaki szaktanácsadó;2;;;;;
marketing munkatárs;2;;;;;
szakmunkás;1;;;;;
Sales executive;2;;;;;
beszerzési előadó;2;;;;;
betanított varró;1;;;;;
SZEMÉLYI-SZAKMAI TITKÁR;2;;;;;
termék menedzser;2;;;;;
HR koordinátor;2;;;;;
textilgépkezelő;1;;;;;
áru kiszállításért felelős munkatárs;1;;;;;
geológus;3;;;;;
csemege pultos;1;;;;;
Helyszíni ellenőr;3;;;;;
építőipari szakmai irányító, felügyelő;2;;;;;
szállítmányozási ügyintéző;2;;;;;
hentes;1;;;;;
sales Manager;2;;;;;
iratkezelési munkatárs;2;;;;;
Webshop csoportvezető;2;;;;;
védőnő;3;;;;;
szakács;1;;;;;
értékesítő szaktanácsadó;2;;;;;
senior könyvelő;2;;;;;
ügyvédjelölt;2;;;;;
műszaki előkészítő;2;;;;;
üzleti szolg-i tevékenységet folytató egység vezető;2;;;;;
key account manager;2;;;;;
igazgató;2;;;;;
üzletkötő;1;;;;;
pénzügyi vezető;2;;;;;
anyaggazdálkodási munkatárs;1;;;;;
Product Engineer;2;;;;;
projekt asszisztens;2;;;;;
gazdasági igazgató;2;;;;;
kereskedelmi képviselő;2;;;;;
műszaki asszisztens;2;;;;;
humánpol. és tb. ügyintéző;2;;;;;
kereskedelmi igazgató;2;;;;;
értékesítő-termékfelelős;2;;;;;
villamos tervező;2;;;;;
szervíz asszisztens;1;;;;;
magasemelésű targoncás;1;;;;;
Többes munkakör Termékfelelős/Eladó;1;;;;;
ügyeletes;2;;;;;
junior szakértő;2;;;;;
HR generalista;2;;;;;
Transport manager;2;;;;;
raktáros, targoncavezető;1;;;;;
raktári csoportvezető;1;;;;;
előadó;1;;;;;
to-go vezető;2;;;;;
raktár vezető;2;;;;;
pénzügyi előadó;1;;;;;
Áruátvételi csoportvezető;2;;;;;
könyvelési adminisztrátor;2;;;;;
alk. önkiszolg.osztály(grill pult);1;;;;;
HR igazgató;2;;;;;
termelési részlegvezető;2;;;;;
Áruházi készletgazdálkodási csoportvezető;2;;;;;
szerelő;1;;;;;
jogi és hatósági előadó;2;;;;;
